HolidayDate,HolidayName
12/25/2020,Christmas Day
12/24/2020,Christmas Eve (TCU only)
11/27/2020,Day after T-Day (Fri - TCU only)
11/26/2020,Thanksgiving
11/11/2020,Veterans Day
10/12/2020,Columbus Day
09/07/2020,Labor Day
07/03/2020,Independence Day
05/25/2020,Memorial Day
02/17/2020,Presidents Day
01/20/2020,MLK Day
01/01/2020,New Years Day
12/25/2019,Christmas
12/24/2019,Christmas Eve (TCU only)
11/29/2019,Day after T-Day (Fri - TCU only)
11/28/2019,Thanksgiving Day
11/11/2019,Veterans Day
10/14/2019,Columbus Day
09/02/2019,Labor Day
07/04/2019,Independence Day
05/27/2019,Memorial Day
02/18/2019,Presidents Day
01/21/2019,MLK Jr. Day
01/01/2019,New Years Day
12/25/2018,Christmas
12/24/2018,Christmas Eve (TCU only)
11/23/2018,Day after T-Day (Fri - TCU only)
11/22/2018,Thanksgiving Day
11/12/2018,VeteransDay
10/08/2018,Columbus Day
09/03/2018,Labor Day
07/04/2018,Independence Day
05/28/2018,Memorial Day
02/19/2018,Presidents Day
01/15/2018,MLK Jr. Day
01/01/2018,New Years Day
12/25/2017,Christmas Day
11/24/2017,Day after T-Day (Fri - TCU only)
11/23/2017,Thanksgiving Day
11/10/2017,Veteran's Day (Fri - TCU only)
10/09/2017,Columbus Day (Fed only)
09/04/2017,Labor Day
07/04/2017,Independence Day
05/29/2017,Memorial Day
04/16/2017,Easter
02/20/2017,Presidents Day
01/16/2017,MLK Day
01/02/2017,New Years Day (Fed)
01/01/2017,New Years Day
12/26/2016,Day After Christmas (TCU Only)
12/25/2016,Christmas
12/24/2016,Christmas Eve
11/25/2016,Day After T-Day (TCU only)
11/24/2016,Thanksgiving Day
11/11/2016,Veterans Day
09/05/2016,Labor Day
07/04/2016,Independence Day
05/30/2016,Memorial Day
02/15/2016,Presidents Day
01/18/2016,MLK Jr. Day
01/01/2016,New Years Day
12/25/2015,Christmas Day
12/24/2015,Christmas Eve
11/26/2015,Thanksgiving Day
11/11/2015,Veterans Day
10/12/2015,Columbus Day
09/07/2015,Labor Day
07/03/2015,Independence Day (obsv)
05/25/2015,Memorial Day
02/16/2015,Presidents Day
01/19/2015,MLK Jr. Day
01/01/2015,New Years Day
12/25/2014,Christmas Day
12/24/2014,Christmas Eve
11/27/2014,Thanksgiving Day
11/11/2014,Veteran's Day
09/01/2014,Labor Day
07/04/2014,Independence Day
05/26/2014,Memorial Day
02/17/2014,President's Day
01/20/2014,MLK Jr. Day
01/01/2014,New Years Day
12/25/2013,Christmas Day
11/28/2013,Thanksgiving Day
11/11/2013,Veteran's Day
09/02/2013,Labor Day
07/04/2013,Independence Day
05/27/2013,Memorial Day
02/18/2013,President's Day
01/21/2013,MLK Jr. Day
01/01/2013,New Years Day
12/25/2012,Christmas Day
11/22/2012,Thanksgiving Day
11/12/2012,Veterans Day
09/03/2012,Labor Day
07/04/2012,Independence Day
05/28/2012,Memorial Day
02/20/2012,Presidents Day
01/16/2012,Martin Luther King Jr. Birthday
12/25/2011,Christmas Day
12/24/2011,Christmas Eve
11/24/2011,Thanksgiving Day
11/11/2011,Veteran's Day
10/10/2011,Columbus Day
09/05/2011,Labor Day
07/04/2011,Independence Day
05/30/2011,Memorial Day
04/22/2011,Good Friday (half day)
02/21/2011,Presidents Day
01/17/2011,Martin Luther King Day
01/01/2011,New Years Day/Spc.Req Acct 12-31 to 1-1 for Sun
12/25/2010,Christmas Day
12/24/2010,Christmas Eve
11/25/2010,Thanksgiving Day
11/11/2010,Veteran's Day
10/11/2010,Columbus Day
09/06/2010,Labor Day
07/05/2010,Independence Day
05/31/2010,Memorial Day
04/02/2010,Good Friday (half day)
02/15/2010,Presidents Day
01/18/2010,Martin Luther King Day
01/01/2010,New Years Day
